uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3420ce84-479f-475c-ba66-604c7c5683f4",1451,"Other","datetime","2018-10-20T13:08:11.000000+0000","",0,1540555657,"last-submission","","","",""
"55cc886a-e25d-476b-8a7e-20a5fe4e6614",1451,"External analysis","link","https://www.virustotal.com/file/94625dd8151814dd6186735a6a6a87b2a4c71c04b8402caf314fb6f98434eaad/analysis/1540040891/","",0,1540555673,"permalink","","","",""
"54676eed-d4a9-4ab3-a05f-478ec6349aae",1451,"Other","text","39/59","",0,1540555674,"detection-ratio","","","",""
"81f895cc-4d59-4654-a213-798b13386f2e",1451,"Payload delivery","md5","4f873578956d2790101443f24e4bd4d3","",1,1540555696,"md5","","","",""
"1f400c60-a73e-41a5-ac10-5666ab2e2975",1451,"Payload delivery","sha1","c8b93462145d8233af5f52c4acea38de255e4701","",1,1540555703,"sha1","","","",""
"7ac40b06-8fb0-4d89-be65-f8d59fec537a",1451,"Payload delivery","sha256","ad7210a49bd908aae54da0f496ca62cb10a20c3c934dede84f9afff229186873","",1,1540555709,"sha256","","","",""
"92129c9b-7c1c-45de-a493-af00635c6770",1451,"Other","datetime","2018-10-26T00:58:48.000000+0000","",0,1540555717,"last-submission","","","",""
"b14351f0-b0d5-49f6-a388-42bc6abd1d28",1451,"External analysis","link","https://www.virustotal.com/file/ad7210a49bd908aae54da0f496ca62cb10a20c3c934dede84f9afff229186873/analysis/1540515528/","",0,1540555717,"permalink","","","",""
"13e6c4c4-91e6-42c4-9662-8258abed6aad",1451,"Other","text","17/58","",0,1540555719,"detection-ratio","","","",""
"ba362d75-cf5e-47df-a0c1-53fd31069e52",1451,"Payload delivery","md5","b8939fa58fad8aa1ec271f6dae0b7255","",1,1540555729,"md5","","","",""
"9839c571-13d2-4bf0-bb4f-61257fe6e9d0",1451,"Payload delivery","sha1","0336503957730b0669a4575fa64b9c4d9d25f240","",1,1540555730,"sha1","","","",""
"d5025714-83d2-4cf7-b43a-7b1e2c2039c3",1451,"Payload delivery","sha256","76e9988dad0278998861717c774227bf94112db548946ef617bfaa262cb5e338","",1,1540555731,"sha256","","","",""
"d6768968-bbbb-4f37-8c09-49822cf5ef5d",1451,"Other","datetime","2018-10-22T22:07:39.000000+0000","",0,1540555731,"last-submission","","","",""
"b782bdf4-6702-4b0c-b531-aac359e9c545",1451,"External analysis","link","https://www.virustotal.com/file/76e9988dad0278998861717c774227bf94112db548946ef617bfaa262cb5e338/analysis/1540246059/","",0,1540555734,"permalink","","","",""
"4aa66c8a-42e4-48a6-91c9-edafbfe98f53",1451,"Other","text","41/59","",0,1540555736,"detection-ratio","","","",""
"12aa83ea-4d3b-4c4c-b874-58f97d3803b1",1451,"Payload delivery","md5","08acd1149b09bf6455c553f512b51085","",1,1540555740,"md5","","","",""
"2d7eb225-e705-4dec-a627-7e55544e662e",1451,"Payload delivery","sha1","56837e2222dd6dd2700afdaf35d7d219b4566dff","",1,1540555747,"sha1","","","",""
"8a1f79b1-ca14-4cfd-810e-ef54348d3d55",1451,"Payload delivery","sha256","f9a825385e4bf2a86943f78708f7b5a3bb4244c334be5cd363c221b59a21d42e","",1,1540555757,"sha256","","","",""
"f4514c63-d34d-479c-aabc-f399ce433dd4",1451,"Other","datetime","2018-10-16T12:57:16.000000+0000","",0,1540555772,"last-submission","","","",""
"39c081fa-2210-4dd9-936e-69f8f0b8687b",1451,"External analysis","link","https://www.virustotal.com/file/f9a825385e4bf2a86943f78708f7b5a3bb4244c334be5cd363c221b59a21d42e/analysis/1539694636/","",0,1540555774,"permalink","","","",""
"bad218fe-9d9a-4251-a7ab-9a4690a5bd93",1451,"Other","text","38/59","",0,1540555781,"detection-ratio","","","",""
"3572fa02-a756-4e20-b65e-4a1ac97cbdb2",1451,"Payload delivery","md5","d15aee026074fbd18f780fb51ec0632a","",1,1540555785,"md5","","","",""
"6eeb667e-29be-4c11-9154-76c61bb4d22d",1451,"Payload delivery","sha1","352687a98fb232e5614f7ce7cd57512553535915","",1,1540555786,"sha1","","","",""
"cafb1c42-e0b4-445d-bb30-9bd361361234",1451,"Payload delivery","sha256","af5f102f0597db9f5e98068724e31d68b8f7c23baeea536790c50db587421102","",1,1540555792,"sha256","","","",""
"8705cda0-5405-46d6-b4e7-d295efdf377b",1451,"Other","datetime","2018-10-13T22:19:12.000000+0000","",0,1540555800,"last-submission","","","",""
"9a3461b2-a6d2-4233-9a07-e8a682f5f474",1451,"External analysis","link","https://www.virustotal.com/file/af5f102f0597db9f5e98068724e31d68b8f7c23baeea536790c50db587421102/analysis/1539469152/","",0,1540555800,"permalink","","","",""
"3bd447c7-a736-4410-88c0-efc980eb4477",1451,"Other","text","39/59","",0,1540555801,"detection-ratio","","","",""
"0ddd0a91-9c74-46c2-b3f9-6047d8bbf75a",1451,"Payload delivery","md5","aa1e8d0e1c4d4eb9984124df003ea7f2","",1,1540555802,"md5","","","",""
"e1715c3c-8e42-4b3d-9549-d5d56f2648e6",1451,"Payload delivery","sha1","dfcd4a66adc4ebd573a48f1715a8f2b0c0291160","",1,1540555803,"sha1","","","",""
"e8379b8b-9fdf-4a7d-bfb2-970aee237620",1451,"Payload delivery","sha256","cd123cc3c192e822d24534ad52b7c76becbe0b10f987c881d90a4629ef84f736","",1,1540555804,"sha256","","","",""
"8d0ceced-616b-42c9-89cf-4f92cc6d2c3e",1451,"Other","datetime","2018-10-13T21:17:03.000000+0000","",0,1540555814,"last-submission","","","",""
"46db7b18-cf5d-44c7-8710-219172ec1a25",1451,"External analysis","link","https://www.virustotal.com/file/cd123cc3c192e822d24534ad52b7c76becbe0b10f987c881d90a4629ef84f736/analysis/1539465423/","",0,1540555819,"permalink","","","",""
"ba031384-7102-4ea7-bc64-4d257267e9ed",1451,"Other","text","40/58","",0,1540555826,"detection-ratio","","","",""
"82ef0416-9862-4e6f-a59d-496291a1929b",1451,"Payload delivery","md5","bb476622bcb0c666e12fbe4ccda8bbef","",1,1540555827,"md5","","","",""
"6566db76-4fb0-40ba-9e96-436e5102390c",1451,"Payload delivery","sha1","4986d8bca37e0863f5baf25a0da27e6b253d12bb","",1,1540555827,"sha1","","","",""
"007e9897-59df-47c4-86c6-df1f3997da19",1451,"Payload delivery","sha256","3f14a1210d1f2cdb916275bf32cb49159b6f49a54f246bdcb0e967cd0edb8e82","",1,1540555828,"sha256","","","",""
"37a5c439-b1b4-4c95-bd21-f1e1f076f047",1451,"Other","datetime","2018-10-13T21:51:07.000000+0000","",0,1540555829,"last-submission","","","",""
"08388520-2788-48f8-86cf-e34359a3a533",1451,"External analysis","link","https://www.virustotal.com/file/3f14a1210d1f2cdb916275bf32cb49159b6f49a54f246bdcb0e967cd0edb8e82/analysis/1539467467/","",0,1540555831,"permalink","","","",""
"447fa4aa-0cab-45ba-8ca7-d8996eef6876",1451,"Other","text","34/58","",0,1540555831,"detection-ratio","","","",""
"050f83b7-5b6a-4edc-bcb6-dcda62cefdda",1451,"Payload delivery","md5","5466c8a099d1d30096775b1f4357d3cf","",1,1540555831,"md5","","","",""
